Image,Mask
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_1.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_1.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_10.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_10.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_100.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_100.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_11.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_11.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_12.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_12.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_13.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_13.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_14.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_14.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_15.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_15.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_16.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_16.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_17.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_17.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_18.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_18.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_19.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_19.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_2.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_2.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_20.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_20.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_21.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_21.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_22.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_22.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_23.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_23.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_24.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_24.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_25.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_25.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_26.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_26.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_27.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_27.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_28.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_28.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_29.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_29.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_3.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_3.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_30.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_30.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_31.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_31.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_32.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_32.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_33.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_33.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_34.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_34.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_35.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_35.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_36.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_36.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_37.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_37.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_38.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_38.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_39.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_39.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_4.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_4.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_40.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_40.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_41.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_41.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_42.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_42.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_43.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_43.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_44.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_44.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_45.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_45.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_46.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_46.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_47.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_47.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_48.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_48.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_49.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_49.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_5.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_5.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_50.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_50.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_51.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_51.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_52.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_52.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_53.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_53.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_54.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_54.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_55.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_55.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_56.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_56.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_57.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_57.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_58.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_58.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_59.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_59.npy
E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Image/0_6.npy,E:\MedicalData\lung_lobe_Segmentation\Aug_patch/Mask/0_6.npy
